id;subtitle;title;date;categories;tags;person;post_type;slug
;;Berlin: Pfusch am Bau des Berliner Flughafens nach 7 Jahren festgestellt - Maßnahmen unklar;;Berlin;BER;;news;
;;Berlin: Polizei erhält neue Wasserwerfer mit Bier statt Wasser;;Berlin;Polizei;;news;
;;Nach DNA-Test: Albert Einstein doch nicht Vater von Schlaubi Schlumpf;;Unterhaltung.Promis.Wissen;;Albert Einstein;news;
;;Hamburg: Fahrradfahrer von Blitz getroffen. Er kann nun angeblich die Zukunft vorhersehen. Besucher stehen Schlange;;Deutschland;;;news;
;;Sibirien: 140 Jahre Straflager für Heizungsinstallateur nach fehlerhafter Heizungsmontage;;Ausland.Unterhaltung;;;news;
;;Berlin: 2 Ordnungsamtsmitarbeiter zu 3 Jahren Haft verurteilt. Sie hatten sich vor fahrende Autos gestellt und diese dann direkt wegen Falschparkens abkassiert;;Berlin;Auto;;news;
;;Markus Lanz nimmt Gummibärchen als Glücksbringer mit ins Flugzeug;;Unterhaltung.Promis.Frauen;;Markus Lanz;news;
;;Türkei: Paulchen (5) ist heute zu spät ins Bett gegangen - Eltern verhaftet;;Ausland;;;news;
;;Prinz Wilhelm und Katy besuchen Swingerclub in Polen;;Unterhaltung.Promis;Royals;;news;
;;König Carl Lustsanft von Schweden hat seine Kronjuwelen verloren;;Ausland.Unterhaltung;Royals;;news;
;;Köln: Polizist verhaftet sich selbst wegen Trunkenheit am Steuer;;Deutschland;Polizei;;news;
;;München: Richter beendete NSU-Verhandlung in Wirklichkeit nur wegen der “Wiesn”;;Deutschland;Justiz;;news;
;;ISS: Kommandant sichtet den “Todesstern” und ruft “Luke Skywalker” um Hilfe;;;Raumfahrt;;news;
;;Spanien: 5-jähriger verbrennt sich die Hand als er in die Sonne fassen möchte;;Ausland.Unterhaltung;;;news;
;;USA: Country-Sänger verhaftet.weil Songtext nicht “subtil” genug war;;Ausland.Unterhaltung;Musik;;news;
;;USA: Donald Trump löscht seinen offiziellen Twitter-Account.Anhänger melden Großdemonstration an;;Ausland.Politik;;Donald Trump;news;
;;Vladimir Putin eröffnet Luxus-Restaurant mit dem Namen “Ras-Putin”;;Ausland.Unterhaltung;;Vladimir Putin;news;
;;Korea-Krise: Militär gräbt Tunnel bis nach Seoul und will in Südkoreaner mit Deutschen Senfeiern und Rosenkohl vergiften. Südkorea ist gewarnt;;Ausland.Politik;Militär;;news;
;;Warschau: Polizist mit Strohhalm gefesselt;;Ausland;Polizei;;news;
;;Hessen: Blitz schlägt in Frau ein und die leitet den Blitz direkt an ihren verhassten Ex-Ehemann weiter - tot;;Deutschland;;;news;
;;Rainer Kallmund: Ich bin als Kind in das Fass mit dem Zaubertrank gefallen;;Unterhaltung.Promis;;Rainer Kallmund;news;
;;Angela Merkel: Nach Blitzschlag spricht Sie nur noch Klingonisch;;Unterhaltung.Promis;;Angela Merkel;news;
;;Tom Cruise leckt gern an Frauenfüßen;;Unterhaltung.Promis;;Tom Cruise;news;
;;G8-Dinner: Gekräuseltes Schamhaar in der Suppe löst diplomatische Krise zwischen USA und Frankreich aus;;Politik.Ausland;G8;;news;
;;Tennis: Tennis-Star Rafael Nadale hat sich in Wimbledon die Augenbrauen verstaucht und kann beim nächsten Turnier nicht antreten;;Sport.Tennis;;;news;
;;Donald Trump veranstaltet Puppentheater im Weißen Haus. Merkel nicht eingeladen;;Ausland.Politik;;Donald Trump.Angela Merkel;news;
;;Timbuktu: Neuer Präsident regiert aus einem Bus statt aus einem Palast weil es sicherer ist;;Politik.Ausland;;;news;
;;ISS: Raumfahrer mit Laserschwert im Rücken tot aufgefunden;;;Raumfahrt;;news;
;;Istanbul: Parkbesucher wegen zerknicktem Grashalm zu 30 Jahren Haft verurteilt;;Ausland.Politik;Justiz;;news;
;;Diego Maradonna gibt seine Hand an Jesus zurück;;Ausland.Unterhaltung;;Diego Maradonna;news;
;;Hollywoodstar Tom Hardy ernährt sich vegan von Fuß-Pilzen;;Unterhaltung.Promis;;;news;
;;Russisches Atom-U-Boot taucht im Hudsen River in New York auf. Besatzung verteilt Matroschkas und Vodka an Schulkinder;;Ausland.Politik;Militär;;news;
;;Hat die Form einer Kartoffel: Neu entdeckter Zwerg-Planet bekommt den Namen ”Kallmund”;;Unterhaltung.Wissen;Raumfahrt;Rainer Kallmund;news;
;;Donald Trump lädt Dennis Rodman ins Weiße Haus ein um mehr über Nordkorea zu lernen;;Ausland.Politik;Nordkorea;Donald Trump;news;
;;Köln: Falscher Polizist verhaftet Polizisten und raubt ihn aus ;;Deutschland;Polizei;;news;
;;München: Islamisten stürmen Oktoberfest und stolpern über Biergläser. 12 Biergläser beschädigt.;;Deutschland.Unterhaltung;Oktoberfest;;news;
;;Pop-Star Shakira färbt sich die Haare rot: Aber nicht auf dem Kopf;;Unterhaltung.Promis.Männer;Musik;Shakira;news;
;;Mila Kunis rasiert sich zweimal täglich.. und zwar am Rücken;;Unterhaltung.Promis.Männer;;;news;
;;"Berlin: Merkel besucht Affengehege im Zoo. Alle Affen fressen Ihr aus der Hand - bis auf einen der schmollt allein in der Ecke. er trägt den Spitznamen “Merzi""";;Berlin.Politik;;Angela Merkel;news;
;;Deutsches U-Boot taucht nach 78 Jahren Feindfahrt vor Irischer Küste wieder auf. Besatzung ist außer Atem;;Deutschland;Militär;;news;
;;USA: Facebook-Rechenzentrum stürzt ein weil Festplatten zu schwer geworden sind;;Ausland.Digital;Facebook;;news;
;;Künstliche Intelligenz schaltet nach mehreren Monaten Berechnung Facebook ab;;Digital.Unterhaltung;Facebook.KI;;news;
;;Madrid: CR007 zahlt wieder Steuern. ;;Sport.Fussball;;Christiano Ronaldo;news;
;;Spanischer Eroberer erreicht nach 420 Jahren Kuba im Paddelboot;;Wissen.Geschichte.Unterhaltung;;;news;
;;Österreich: Wissenschaftler wollen Ötzi klonen und entnehmen Disk Jockey DNA;;Wissen.Unterhaltung.Ausland;;;news;
;;Popstar Shakira bekennt sich als Nymphomanin: “Habe schon als 14-Jährige Männer vernascht”;;Unterhaltung.Promis.Männer;Musik;Shakira;news;
;;Politik: Peter Altmeier hat die Hosen gestrichen voll;;Politik.Deutschland;;;news;
;;Chinesischer Investor übernimmt letztes Eigentumshaus in Hamburg;;Gesellschaft.Unterhaltung;;;news;
;;Berlin zur Touristenzone erklärt. Bewohner sollen Stadt verlassen;;Berlin.Politik;Tourismus;;news;
;;Türkei: 4-Jähriger wegen Terrorismusverdacht festgenommen weil er mit einer Lego-Figur spielte.die wie Gülen aussah;;Ausland.Politik;Terrorismus.Justiz;;news;
;;USA: 14-Jähriger begeht Selbstmord weil sein Instagram-Account gesperrt wurde;;Ausland.Digital.Unterhaltung;Instagram;;news;
;;Präsident Erdogan ruft Osmanisches Reich aus. Österreich befestigt vorsichtshalber schonmal die Stadtmauern von Wien;;Ausland.Politik;;;news;
;;Tennis-Legende Boris Becker hat gestanden 2 Tage nicht GeParshiped zu haben. Polizei ermittelt wegen unterlassener Internetleistung;;Sport.Tennis.Unterhaltung.Promis;;Boris Becker;news;
;;Fussball-Trainer Pep Guardiola wird in Wirklichkeit von einem indischen Voodoo-Guru kontrolliert;;Sport.Fussball;;;news;
;;Hauptsache fällt es niemandem auf: Angela Merkel hat 2 Doubles und kann daher in Brüssel.Moskau und Berlin gleichzeitig sein;;Deutschland.Politik;;Angela Merkel;news;
;;Heidi Klum geht Kooperation mit YouPorn ein und lädt 500 Määäädchen zum Casting ein;;Unterhaltung.Promis.Männer;;Heidi Klum;news;
;;Hurrikan “Landwind” vom US-Militär aufgesaugt und in Nordkorea wieder ausgeblasen;;Ausland.Politik;Wetter.Militär;;news;
;;Britische Marine lässt neuen Flugzeugträger vom Stapel. Dieser kostete nur 47Mrd. Pfund;;Ausland.Politik;Militär;;news;
;;Deutsches U-Boot aus dem Zweiten Weltkrieg in Bremerhaven eingelaufen. Kapitän: Wir waren 78 Jahre auf Feindfahrt haben aber niemanden mehr gesehen.;;Ausland.Unterhaltung;Militär;;news;
;;103-jähriger Japanischer Soldat aus dem Zweiten Weltkrieg auf den Philippinen entdeckt;;Ausland.Unterhaltung;Militär;;news;
;;3 Jahre Jugendarbeit für einen Siebenjährigen weil er nicht am “Veggieday” teilnehmen wollte und seine Lehrerin als “Rohkostsau” beschimpfte;;Deutschland.Unterhaltung.Gesellschaft;Justiz.Vegetarier;;news;
;;Holland: Erstes EU-Land schafft Bargeld ab: Bevölkerung druckt Geld nun selbst;;Ausland.Digital.Unterhaltung;EU.Geld;;news;
;;Christian Spinnler sieht sich mit einem Shit-Storm konfrontiert weil er gesagt hat: “Ich stehe auf schöne Frauen”. Frauenaktivistin Beate Buhse kritisiert diese Aussage als Frauenverachtend;;Unterhaltung.Promis.Männer;;;news;
;;Donald Trump von intelligentem Computer als “dumm” eingestuft;;Ausland.Digital.Unterhaltung;;Donald Trump;news;
;;Frankreich: Polizist von Hinkelstein erschlagen. Hinterbliebene fordern Schadenersatz für den beschädigten Stein;;Ausland.Unterhaltung;Polizei.Justiz;;news;
;;US-Präsidentin Mila Kunis platzen die Brüste bei Weihnachtsansprache;;Ausland.Unterhaltung.Promis.Männer;;Mila Kunis;news;
;;Jörg Babbelmann wegen falscher Wettervorhersage vor Gericht: “Ich wusste nicht dass es am Wochenende doch regnen würde”;;Deutschland.Unterhaltung;Wetter.Justiz;Jörg Kachelmann;news;
;;Hollywood-Star Brad Pitt kehrt nach 7 Jahren aus Tibet zurück: “Ich habe jetzt Dauerfrostbeulen und nur noch 6 Fußzehen”;;Ausland.Unterhaltung.Promis;;Brad Pitt;news;
;;George Clooney nach Beinamputation: “Endlich lassen mich die Frauen in Ruhe”;;Unterhaltung.Promis.Frauen;;;news;
;;Software-Panne: Facebook von eigener KI-Software als “menschlich fragwürdig” eingestuft;;Digital.Unterhaltung;Facebook.KI;;news;
;;Moskau: Flughafen wegen Unwetter geschlossen. Bodenpersonal feiert Orgie und besäuft sich;;Ausland.Unterhaltung;Wetter;;news;
;;Motzi Mabuse steht auf “große Deutsche Bratwürste”;;Unterhaltung.Promis.Männer;;;news;
;;Formel1-Rennfahrer Lewis Hamilton heiratet Boxenluder in Bahrain;;Sport.Formel1.Unterhaltung.Promis;;Lewis Hamilton;news;
;;Pakistan: 7 Kühe vor Gericht wegen öffentlicher Freizügigkeit ;;Ausland.Politik;Justiz;;news;
;;Malaysia: Schimpanse wegen Kindesentführung zu 10 Jahren Haft verurteilt. Verteidiger geht in Revision und plädiert auf Unzurechnungsfähigkeit. Der Affe habe nur seinen Bananentrieb befriedigen wollen und war zur Tatzeit betrunken;;Ausland.Unterhaltung;Justiz;;news;
;;Helene Fischer schlürft eine Maß Bier in einem Zug weg. “Ich war schon als Kind ein Schluckspecht”;;Unterhaltung.Promis.Männer;Bier;Helene Fischer;news;
;;Frankreich: Regierung erhöht Kindergeld um 12 Cent;;Ausland.Politik;;;news;
;;Polen: Frau heiratet Ochsen;;Ausland.Unterhaltung;;;news;
;;Rainer Kallmund bekommt Elefantenmagen transplantiert;;Unterhaltung.Promis;Eklig;Rainer Kallmund;news;
;;Barbara Schöneberger schickt ihre 4 Hornochsen in die Wüste;;Unterhaltung.Promis.Frauen;;;news;
;;Hollywood-Legende Kirk Douglas wird 150: “Ich fühle mich immer noch so frisch wie ein 110-Jähriger”;;Unterhaltung.Promis;;;news;
;;43-Jähriger Japaner hat bereits 17.600,500,840 Schafe im Schlaf gezählt.. und er zählt weiter;;Unterhaltung.Gesellschaft;;;news;
;;Kapitän der Indischen Marine hat sich beim Anblasen seines U-Bootes verschluckt;;Ausland.Unterhaltung;Militär;;news;
;;Bruno Poperzi nach 7-tägiger Dauerfresserei geplatzt.;;Unterhaltung.Gesellschaft;;;news;
;;Los Angeles: 4 Frauen bei Einweihungsfeier verdurstet weil der Wein zu trocken war;;Unterhaltung.Gesellschaft;;;news;
;;Afghanischer Top-Terrorist Yussuf Bombasti offenbar auf dem Mond untergetaucht;;Ausland.Politik;Raumfahrt.Terrorismus;;news;
;;Werbebild von Michael Jackson löst UFO-Alarm in New York aus;;Ausland.Unterhaltung.Promis;UFO;Michael Jackson;news;
;;Autoriese Sauf-Wagen (SW) führt neue Außenbord-Dampfwalze ein;;Deutschland.Unterhaltung;Technik.Auto;;news;
;;Bei Familie Schuppenhuber läuten die Hochzeitsglocken;;Unterhaltung.Promis;;;news;
;;Prag: 27. Sauf-Weltmeisterschaft eröffnet. Favorit ist der Brite Peter Drunkmoore;;Ausland.Unterhaltung.Sport ;Bier;;news;
;;Jena: Wissenschaftler-Team erfindet ersten fliegenden Rollstuhl;;Wissen.Unterhaltung;;;news;
;;Griechenland: Kopf des Trojanischen Pferdes nach 2400 Jahren aus Titan entdeckt. Wissenschaftler rätseln;;Ausland.Unterhaltung.Wissen;Lachvegas deckt auf;;news;
;;Indien: Gruppe junger Männer bricht aus Gefängnis aus und wird von Flusspferd vergewaltigt;;Ausland.Unterhaltung;Justiz;;news;
;;INSA-Studio:;;;;;news;
;;Irak: Totgeglaubter Top-Terrorist tarnte sich nach Gesichtsoperation jahrelang als Regierungsmitglied;;Ausland.Unterhaltung;Terrorismus;;news;
;;Angola: Erstmals mehr Menschen in Haft als in Freiheit. Regierung baut Gefängnisstadt;;Ausland.Politik;;;news;
;;Berlin: Taubstummer Rentner bekommt 2 Monate Beugehaft.weil er seine Rundfunkgebühren nicht zahlen konnte;;Berlin;Justiz.Polizei;;news;
;;Kim-Jong-Un hat den roten Atomknopf an seiner Unterhose für den Fall dass er entführt werden sollte;;Ausland.Politik;;Kim Jong-Un;news;
;;Moskau: Mann fällt von Brücke nachdem er 2 Tage lang nüchtern war ;;Ausland.Unterhaltung;;;news;
;;USA: Lehrer werden mit Schusswaffen ausgerüstet um sich gegen bewaffnete Schüler zu wehren;;Ausland.Politik;;;news;
;;Amazon: meist verkauftes Produkt ist Sexpuppe aus Silikon;;Ausland.Digital.Unterhaltung;;;news;
;;Brasilien: Hahnenkampfring ausgehoben. 20 Hähne müssen ins Umerziehungsheim.;;Ausland.Unterhaltung;;;news;
;;Frankreich: Ehefrau verlässt Präsidenten weil er die Frühstücksbrötchen zu lange hat abkühlen lassen;;Ausland.Politik.Unterhaltung;;;news;
;;Schock-Rocker Marilyn Manson lässt sich drittes Auge stechen;;Unterhaltung.Promis;Musik;Marilyn Manson;news;
;;Conchita Wurst hat nach Schönheitsoperation Knoten im Glied;;Unterhaltung.Promis.Frauen;;Conchita Wurst;news;
;;Kuba: 13 Häftlinge brechen aus Gefängnis aus und seilen sich an Schlange ab;;Ausland.Politik.Unterhaltung;Polizei.Justiz;;news;
;;US-Präsident Donald Dump führt Strafzölle für Büroklammern aus Indien ein;;Ausland.Politik.Wirtschaft;;Donald Trump;news;
;;Studie: 87% der Männer schwitzen beim Kacken. 90% der Frauen schwitzen beim Shoppen;;Unterhaltung.Gesellschaft.Wissen;Statistik;;news;
;;GNTM: 16-jährige fliegt aus Show weil Sie 4 Gramm Schminke zu wenig aufgetragen hat;;Unterhaltung.Gesellschaft;TV;;news;
;;Berlin: Überfüllte Tram löst Massenkotzerei aus.;;Berlin;Eklig;;news;
;;Nach mehr als 100 Jahren. England entsendet Expertenteam das den Eisberg ausfindig machen soll der die Titanic versenkt hat um ihn vor Gericht zu stellen;;Ausland.Politik.Unterhaltung;;;news;
;;PISA-Studie: Deutschlands Schüler schneiden doch nicht so schlecht ab. Die Reihenfolge der Ergebnisse wurde nur vertauscht. Dann ist ja alles gut;;Deutschland.Politik.Gesellschaft.Bildung;Studie;;news;
;;Duisburg-Marxloh: Letzter Deutscher Schüler verlässt die Grundschule weil er sich mit seinen Mitschülern nicht mehr unterhalten kann;;Deutschland.Gesellschaft.Unterhaltung.Bildung;Schule;;news;
;;Glück im Unglück: Männer verkleiden sich als Polizisten und entführen Kanzlerin nach Afghanistan. Frau war aber nur eine Doppelgängerin;;Ausland.Politik;Polizei;Angela Merkel;news;
;;Siebenjährige schreibt bewegenden Brief an Weihnachtsmann und wird von Geheimdienst verfolgt;;Deutschland.Gesellschaft.Unterhaltung;Weihnachten;;news;
;;Queen of Pop: Madonna wird 70;;Unterhaltung.Promis;;Madonna;news;
;;BVB: Spieler kriegt Ball in die Weichteile und verteilt an seine Teammitglieder in der Umkleidekabine Eiersalat;;Sport.Fussball;BVB;;news;
;;BND-Panne: Geheimdienst verwechselt Terroristen mit einer 2-Jährigen aus Sachsen;;Deutschland.Politik;BND.Terrorismus;;news;
;;CERN: Schwarzes Loch saugt Dummheit auf. Heilung der Menschheit steht kurz bevor;;Wissen.Naturwissenschaft;;;news;
;;Türkei: Forscherteam entwickelt Maschine die Dummheit aufsaugen kann. ;;Wissen.Ausland;;;news;
;;Rainer Kallmund: Blähungen lösen Rauchmelder in Stadion aus.;;Unterhaltung.Promis;Eklig;Rainer Kallmund;news;
;;Nach Firmenpleite: Zar-Lando verkauft jetzt Einweg-Schnell-Eierkocher;;Wirtschaft;;;news;
;;Stefanie ClitFold aka Dummy Daniels berichtet in Ihrem neuen Buch von Donald Trump Schrumpfpenis: “Ich spürte nichts”;;Ausland.Unterhaltung.Promis.Männer;;Donald Trump;news;
;;Berlin: 20 Bienen und 37 Schnecken demonstrieren gegen den Einsatz von chemischen Pestiziden auf nahegelegener Wiese;;Berlin.Politik;Demonstration;;news;
;;Hartz-4-Empfänger nach 40 Jahren ohne Arbeit kauft sich Luxus-Villa in Florida.;;Deutschland.Gesellschaft.Unterhaltung;Hartz 4;;news;
;;Nach Kinderarbeits-Skandal auf Kakaoplantagen in Afrika: Nestle verkauft jetzt Gießkannen-Saugnäpfe;;Wirtschaft.Ausland.Unterhaltung;;;news;
;;Gladbeck: Teenagerin begeht Selbstmord weil Heidi Klum an Ihrem vierten Urlaubstag kein Foto auf Instagram veröffentlicht hat;;Deutschland.Unterhaltung.Promis.Gesellschaft;;Heidi Klum;news;
;;Nepal: Zugang zum Mount Everest wird gesperrt weil Klimaveränderung aufgetaute Leichen ins Tal spült;;Ausland.Unterhaltung;Klimawandel;;news;
;;Rüstungstechnik: Rheinmetall baut für 35Md Euro Superkanone mit der man seine Frau zum Mond schießen kann.;;Deutschland.Wirtschaft;Militär.Raumfahrt;;news;
;;Paris: Versace stellt neueste Mode vor: Einen Filzsack den man über das Gesicht stülpen kann. Das SACKGESICHT.;;Wirtschaft.Ausland.Unterhaltung;Mode;;news;
;;Frankreich: Polizei führt magnetischen Deflektor ein. Terrorist schießt sich selbst über den Haufen und stirbt.;;Ausland.Politik.Unterhaltung;Polizei.Terrorismus;;news;
;;Griechenland: Obdachloser verkauft seine Sackläuse auf Ebay.;;Ausland.Digital.Unterhaltung;;;news;
;;München: Forschungsinstitut kauft 120 frische Sackläuse von Obdachlosen Griechen auf Ebay;;Deutschland.Digital.Wirtschaft;;;news;
;;Japan: Firma führt wegen Rohstoffmangel Recycling für benutzte Kondome ein;;Wirtschaft.Ausland.Unterhaltung;Sex;;news;
;;“GroKo” als Unwort des Jahres gekührt ;;Wissen.Unterhaltung;;;news;
;;Weihnachtsmann sagt Weihnachten ab;;Deutschland.Unterhaltung.Gesellschaft;Weihnachten;;news;
;;Frau Merkel legt bei der Hündchenstellung gern den Rückwärtsgang ein;;Unterhaltung.Promis.Männer;Sex;Angela Merkel;news;
;;Waffen-Deal: Waffenhersteller rüstet Bundeswehr mit Gummi-Gewehren aus damit Armee keinen Schaden anrichten kann;;Deutschland.Wirtschaft;Militär.Bundeswehr;;news;
;;Frau Kahlarschian lässt sich dritte Brust von Zebra transplantieren;;Unterhaltung.Promis;;;news;
;;Bei Arztbesuch: Neue Bandwurmart in Jumbos Magen entdeckt;;Unterhaltung.Promis;Tiere;;news;
;;Donald Trump verklagt Forbes Magazine weil er nicht mehr unter den TopTen der Reichsten Männer der Welt steht;;Ausland.Unterhaltung.Wirtschaft;Justiz;Donald Trump;news;
;;Texas: Staatlich subventionierter Kotzwettbewerb für dieses Jahr abgesagt weil die ChiliBohnenErnte zu schlecht ausfiel;;Ausland.Politik;Eklig;;news;
;;Wiesbaden: 7-Jähriger fliegt von Schule weil er wiederholt das Volleyball-Frauenteam als Mannschaft und nicht als “Frauschaft” bezeichnet hatte;;Unterhaltung.Gesellschaft.Bildung;Schule.Gender-Wahnsinn;;news;
;;Formel1: Rennserie führt viereckige Reifen ein;;Sport.Formel1.Unterhaltung;;;news;
;;Mekka-Markt: Kunde zerstört 87 Fernseher weil er sich beobachtet fühlt;;Wirtschaft.Unterhaltung;;;news;
;;Testler erfindet Auto dass sich bei Stau in Luft auflösen kann.;;Wirtschaft.Unterhaltung;Auto;;news;
;;Bett Titto lässt sich ihre grünen Achselhaare am Rücken zusammenflechten und erhält dafür renommierten Kunstpreis;;Unterhaltung.Promis;Eklig;;news;
;;Bremen: 17-Jähriger Gymnasiast wird von seinem EiPhone in die Apfel-Cloud gesaugt nachdem er tagelang auf die Bildfläche gestarrt hatte;;Deutschland.Unterhaltung.Gesellschaft;;;news;
;;Klimaschutz: Olympisches Komitee führt Medallien aus Holz ein um die Umwelt zu schonen. ;;Sport.Olympia;Klimawandel.Olympia;;news;
;;Österreich: Thomas Schaltgott hat sich als Steinbock geoutet;;Ausland.Unterhaltung.Gesellschaft;;;news;
;;Künstliche Intelligenz stuft Peter Altmeier als Model und Heidi Klum als Politikerin ein;;Digital.Unterhaltung.Promis;KI;Heidi Klum;news;
;;Donald Trump stellt Putzfrau als Gesundheitsministerin ein.weil niemand anderes mehr verfügbar war;;Ausland.Politik;;Donald Trump;news;
;;Venezuela: Oppositionsführer wird nach 22 Jahren Haft entlassen und 2 Stunden später wieder festgenommen nachdem er mit seinem Anwalt telefoniert hatte.;;Ausland.Politik;Justiz;;news;
;;Facebook: Neue Super-KI schaltet Facebook ab;;Digital.Unterhaltung;Facebook.KI;;news;
;;Pier Keinglück;;;;;news;
;;Brasilien: Passagier fliegt aus Flugzeug wegen zu heftigen Blähungen;;Ausland.Unterhaltung.Gesellschaft;;;news;
;;Russland: Pilot zum siebten Male betrunken beim Fliegen erwischt und wird befördert.;;Ausland.Unterhaltung.Gesellschaft;;;news;
;;Waldsteiner erfindet Silikonbrüste mit Biermilch;;Wirtschaft.Unterhaltung;Bier;;news;
;;Berlin: Parkraumüberwacherin wird von intelligentem Auto überfahren nachdem sie zu viele Parkzettel verteilt hat;;Berlin.Politik;Auto;;news;
;;Omsk/Russland: Behörden rufen Notstand aus nachdem Vodka-Vorräte aufgebraucht sind;;Ausland.Unterhaltung;;;news;
;;Sondereinsatzkommando stürmt Kindergeburtstag und nimmt 2 7-jährige fest weil das Spiel 4-Gewinnt nicht zu Ende gespielt haben;;Deutschland.Unterhaltung.Gesellschaft;Polizei;;news;
;;Russischer Milliardär gründet Schuh-Firma mit dem Namen Zar-Lando;;Wirtschaft.Ausland.Unterhaltung;;;news;
;;;;;;;news;
;;;;;;;news;
;;B2: Betrunkener entwendet Polizisten bei Kontrolle Alkoholgerät und versucht damit zu telefonieren;;Deutschland.Unterhaltung.Gesellschaft;Polizei;;news;
;;Nach Besuch im Weißen Haus: Bundeskanzlerin Merkel freut sich über Wangenküsschen von Donald Dump;;Ausland.Politik.Unterhaltung.Promis;;Angela Merkel.Donald Trump;news;
;;Tennis: Angelique Kerber verschluckt Tennisball bei Trainingsspiel und scheißt grün;;Sport.Tennis.Unterhaltung.Promis;;;news;
