id;date;title;subtitle;content;categories;tags;person;repeatable;teasable;image;
123;3.5.2018;Werbebild von Michael Jackson löst UFO-Alarm in New York aus;;;Ausland.Unterhaltung.Promis;UFO;Michael Jackson;1;;;
124;4.5.2018;Autoriese Sauf-Wagen (SW) führt neue Außenbord-Dampfwalze ein;;;Deutschland.Unterhaltung;Technik.Auto;;1;;;
125;5.5.2018;Bei Familie Schuppenhuber läuten die Hochzeitsglocken;;;Unterhaltung.Promis;;;1;;;
126;6.5.2018;Prag: 27. Sauf-Weltmeisterschaft eröffnet. Favorit ist der Brite Peter Drunkmoore;;;Ausland.Unterhaltung.Sport ;Bier;;1;;;
127;7.5.2018;Jena: Wissenschaftler-Team erfindet ersten fliegenden Rollstuhl;;;Wissen.Unterhaltung;;;1;;;
128;8.5.2018;Griechenland: Kopf des Trojanischen Pferdes nach 2400 Jahren aus Titan entdeckt. Wissenschaftler rätseln;;;Ausland.Unterhaltung.Wissen;Lachvegas deckt auf;;1;;;
129;9.5.2018;Indien: Gruppe junger Männer bricht aus Gefängnis aus und wird von Flusspferd vergewaltigt;;;Ausland.Unterhaltung;Justiz;;1;;;
130;10.5.2018;INSA-Studio:;;;;;;1;;;
131;11.5.2018;Irak: Totgeglaubter Top-Terrorist tarnte sich nach Gesichtsoperation jahrelang als Regierungsmitglied;;;Ausland.Unterhaltung;Terrorismus;;1;;;
132;12.5.2018;Angola: Erstmals mehr Menschen in Haft als in Freiheit. Regierung baut Gefängnisstadt;;;Ausland.Politik;;;1;;;
133;13.5.2018;Berlin: Taubstummer Rentner bekommt 2 Monate Beugehaft.weil er seine Rundfunkgebühren nicht zahlen konnte;;;Berlin;Justiz.Polizei;;1;;;
134;14.5.2018;Kim-Jong-Un hat den roten Atomknopf an seiner Unterhose für den Fall dass er entführt werden sollte;;;Ausland.Politik;;Kim Jong-Un;1;;;
135;15.5.2018;Moskau: Mann fällt von Brücke nachdem er 2 Tage lang nüchtern war ;;;Ausland.Unterhaltung;;;1;;;
136;16.5.2018;USA: Lehrer werden mit Schusswaffen ausgerüstet um sich gegen bewaffnete Schüler zu wehren;;;Ausland.Politik;;;1;;;
137;17.5.2018;Amazon: meist verkauftes Produkt ist Sexpuppe aus Silikon;;;Ausland.Digital.Unterhaltung;;;1;;;
138;18.5.2018;Brasilien: Hahnenkampfring ausgehoben. 20 Hähne müssen ins Umerziehungsheim.;;;Ausland.Unterhaltung;;;1;;;
139;19.5.2018;Frankreich: Ehefrau verlässt Präsidenten weil er die Frühstücksbrötchen zu lange hat abkühlen lassen;;;Ausland.Politik.Unterhaltung;;;1;;;
140;20.5.2018;Schock-Rocker Marilyn Manson lässt sich drittes Auge stechen;;;Unterhaltung.Promis;Musik;Marilyn Manson;1;;;
141;21.5.2018;Conchita Wurst hat nach Schönheitsoperation Knoten im Glied;;;Unterhaltung.Promis.Frauen;;Conchita Wurst;1;;;
142;22.5.2018;Kuba: 13 Häftlinge brechen aus Gefängnis aus und seilen sich an Schlange ab;;;Ausland.Politik.Unterhaltung;Polizei.Justiz;;1;;;
143;23.5.2018;US-Präsident Donald Dump führt Strafzölle für Büroklammern aus Indien ein;;;Ausland.Politik.Wirtschaft;;Donald Trump;1;;;
144;24.5.2018;Studie: 87% der Männer schwitzen beim Kacken. 90% der Frauen schwitzen beim Shoppen;;;Unterhaltung.Gesellschaft.Wissen;Statistik;;1;;;
145;25.5.2018;GNTM: 16-jährige fliegt aus Show weil Sie 4 Gramm Schminke zu wenig aufgetragen hat;;;Unterhaltung.Gesellschaft;TV;;1;;;
146;26.5.2018;Berlin: Überfüllte Tram löst Massenkotzerei aus.;;;Berlin;Eklig;;1;;;
147;27.5.2018;Nach mehr als 100 Jahren. England entsendet Expertenteam das den Eisberg ausfindig machen soll der die Titanic versenkt hat um ihn vor Gericht zu stellen;;;Ausland.Politik.Unterhaltung;;;1;;;
148;28.5.2018;PISA-Studie: Deutschlands Schüler schneiden doch nicht so schlecht ab. Die Reihenfolge der Ergebnisse wurde nur vertauscht. Dann ist ja alles gut;;;Deutschland.Politik.Gesellschaft.Bildung;Studie;;1;;;
149;29.5.2018;Duisburg-Marxloh: Letzter Deutscher Schüler verlässt die Grundschule weil er sich mit seinen Mitschülern nicht mehr unterhalten kann;;;Deutschland.Gesellschaft.Unterhaltung.Bildung;Schule;;1;;;
150;30.5.2018;Glück im Unglück: Männer verkleiden sich als Polizisten und entführen Kanzlerin nach Afghanistan. Frau war aber nur eine Doppelgängerin;;;Ausland.Politik;Polizei;Angela Merkel;1;;;
151;31.5.2018;Siebenjährige schreibt bewegenden Brief an Weihnachtsmann und wird von Geheimdienst verfolgt;;;Deutschland.Gesellschaft.Unterhaltung;Weihnachten;;1;;;
152;1.6.2018;Queen of Pop: Madonna wird 70;;;Unterhaltung.Promis;;Madonna;1;;;
153;2.6.2018;BVB: Spieler kriegt Ball in die Weichteile und verteilt an seine Teammitglieder in der Umkleidekabine Eiersalat;;;Sport.Fussball;BVB;;1;;;
154;3.6.2018;BND-Panne: Geheimdienst verwechselt Terroristen mit einer 2-Jährigen aus Sachsen;;;Deutschland.Politik;BND.Terrorismus;;1;;;
155;4.6.2018;CERN: Schwarzes Loch saugt Dummheit auf. Heilung der Menschheit steht kurz bevor;;;Wissen.Naturwissenschaft;;;1;;;
156;5.6.2018;Türkei: Forscherteam entwickelt Maschine die Dummheit aufsaugen kann. ;;;Wissen.Ausland;;;1;;;
157;6.6.2018;Rainer Kallmund: Blähungen lösen Rauchmelder in Stadion aus.;;;Unterhaltung.Promis;Eklig;Rainer Kallmund;1;;;
158;7.6.2018;Nach Firmenpleite: Zar-Lando verkauft jetzt Einweg-Schnell-Eierkocher;;;Wirtschaft;;;1;;;
159;8.6.2018;Stefanie ClitFold aka Dummy Daniels berichtet in Ihrem neuen Buch von Donald Trump Schrumpfpenis: “Ich spürte nichts”;;;Ausland.Unterhaltung.Promis.Männer;;Donald Trump;1;;;
160;9.6.2018;Berlin: 20 Bienen und 37 Schnecken demonstrieren gegen den Einsatz von chemischen Pestiziden auf nahegelegener Wiese;;;Berlin.Politik;Demonstration;;1;;;
161;10.6.2018;Hartz-4-Empfänger nach 40 Jahren ohne Arbeit kauft sich Luxus-Villa in Florida.;;;Deutschland.Gesellschaft.Unterhaltung;Hartz 4;;1;;;
162;11.6.2018;Nach Kinderarbeits-Skandal auf Kakaoplantagen in Afrika: Nestle verkauft jetzt Gießkannen-Saugnäpfe;;;Wirtschaft.Ausland.Unterhaltung;;;1;;;
163;12.6.2018;Gladbeck: Teenagerin begeht Selbstmord weil Heidi Klum an Ihrem vierten Urlaubstag kein Foto auf Instagram veröffentlicht hat;;;Deutschland.Unterhaltung.Promis.Gesellschaft;;Heidi Klum;1;;;
164;13.6.2018;Nepal: Zugang zum Mount Everest wird gesperrt weil Klimaveränderung aufgetaute Leichen ins Tal spült;;;Ausland.Unterhaltung;Klimawandel;;1;;;
165;14.6.2018;Rüstungstechnik: Rheinmetall baut für 35Md Euro Superkanone mit der man seine Frau zum Mond schießen kann.;;;Deutschland.Wirtschaft;Militär.Raumfahrt;;1;;;
166;15.6.2018;Paris: Versace stellt neueste Mode vor: Einen Filzsack den man über das Gesicht stülpen kann. Das SACKGESICHT.;;;Wirtschaft.Ausland.Unterhaltung;Mode;;1;;;
167;16.6.2018;Frankreich: Polizei führt magnetischen Deflektor ein. Terrorist schießt sich selbst über den Haufen und stirbt.;;;Ausland.Politik.Unterhaltung;Polizei.Terrorismus;;1;;;
168;17.6.2018;Griechenland: Obdachloser verkauft seine Sackläuse auf Ebay.;;;Ausland.Digital.Unterhaltung;;;1;;;
169;18.6.2018;München: Forschungsinstitut kauft 120 frische Sackläuse von Obdachlosen Griechen auf Ebay;;;Deutschland.Digital.Wirtschaft;;;1;;;
170;19.6.2018;Japan: Firma führt wegen Rohstoffmangel Recycling für benutzte Kondome ein;;;Wirtschaft.Ausland.Unterhaltung;Sex;;1;;;
171;20.6.2018;“GroKo” als Unwort des Jahres gekührt ;;;Wissen.Unterhaltung;;;1;;;
172;21.6.2018;Weihnachtsmann sagt Weihnachten ab;;;Deutschland.Unterhaltung.Gesellschaft;Weihnachten;;1;;;
173;22.6.2018;Frau Merkel legt bei der Hündchenstellung gern den Rückwärtsgang ein;;;Unterhaltung.Promis.Männer;Sex;Angela Merkel;1;;;
174;23.6.2018;Waffen-Deal: Waffenhersteller rüstet Bundeswehr mit Gummi-Gewehren aus damit Armee keinen Schaden anrichten kann;;;Deutschland.Wirtschaft;Militär.Bundeswehr;;1;;;
175;24.6.2018;Frau Kahlarschian lässt sich dritte Brust von Zebra transplantieren;;;Unterhaltung.Promis;;;1;;;
