id;date;title;subtitle;categories;tags;url
56;25.2.2019;Etwa Zwei Drittel aller US-Verschwörungstheoretiker glauben dass Osama Bin Laden noch lebt und in Wirklichkeit auf die Rückseite des Mondes geflohen ist und sich dort mit den Nazis zu verbünden;;;;
57;26.2.2019;80% aller Verschwörungstheoretiker in Großbritannien glauben dass die roten Telefonzellen Menschen teleportieren können;;;;
58;27.2.2019;Laut einer Schätzung sind 90% aller E-Mails Spam;;;;
59;28.2.2019;Der längste bekannte Krieg der “Hundertjährige Krieg” zwischen England und Frankreich dauerte 116 Jahre;;;;
60;1.3.2019;90% aller Biertrinker träumen davon im Sommer mit Bier statt Wasser duschen zu können;;;;
61;2.3.2019;Ein Mensch verschluckt während seines Lebens ca. 8 Spinnen im Schlaf;;;;
62;3.3.2019;Nur 3% aller Verschwörungstheoritiker wissen dass der Vatikan im Besitz einer geheimen Zeitmaschine ist und diese dort auch schon benutzt wurde.;;;;
63;4.3.2019;56% aller Amerikaner glauben dass Deutsche zum Frühstück Bier statt Milch in ihre Cornflakes machen;;;;
64;5.3.2019;Vorsicht Frauen: 4,7% aller Männer die in einer Beziehung sind versuchen ihre Frauen per Ortungs-App zu verfolgen und erstellen aus Eifersucht Bewegungsprofile von ihr;;;;
65;6.3.2019;74% der Männer glauben dass ihr Penis ein Geschenk Gottes ist. Etwa 64% davon glauben sogar mit Ihrem Besten Stück in Göttlicher Mission unterwegs zu sein;;;;
66;7.3.2019;Statistisch gesehen stirbt in den USA jede zweite Person die an einer Schießerei teilnimmt;;;;
67;8.3.2019;Eine Studie besagt dass Menschen die von nichts eine Ahnung haben und auch sonst nichts mitkriegen gesünder leben weil sie dem alltäglichen Stress entgehen;;;;
68;9.3.2019;3 von 10 Schlafwandlern haben ein Schlafwandeln schon mal ihren Partner sexuell belästigt;;;;
69;10.3.2019;In Deutschen Büro gibt es pro Minute im Durchschnitt 2200 Meetings. Knapp die Hälfte davon sind sinnlos.;;;;
70;11.3.2019;4 von 10 Frauen gehen beim Blowjob ans Telefon wenn sie angerufen werden;;;;
71;12.3.2019;In einer durchschnittlichen Tasse Kaffee befinden sich über 1000 Chemikalien;;;;
72;13.3.2019;Der Weltrekord im Apnoe-Tieftauchen liegt bei 122 Metern welcher in 4 Minuten und 24 Sekunden von einem Neuseeländer aufgestellt wurde;;;;
73;14.3.2019;7 von 10 Männer glauben nicht dass es Sexistisch ist wenn man einer Frau ein Kompliment gibt mit den Worten: “Du hast eine hübsche Oberweite”;;;;
74;15.3.2019;Laut einer öffentlichen Studie besteht das ideale Sexleben aus fünf Mal Sex pro Woche und einer Dauer von 30 Minuten ;;;;
75;16.3.2019;In Deutschland werden pro Tag 800 Fahrräder gestohlen;;;;
76;17.3.2019;76% aller Männer geben ihrer Liebsten gerne einen Klaps auf den Hintern;Hat nichts mit Sexismus zu tun;;;
77;18.3.2019;Jeden Tag verpassen 1,8 Millionen Menschen ihren Bus, ihre Bahn oder ihre Mitfahrgelegenheit;;;;
78;19.3.2019;4 von 10 Menschen glauben an Außerirdische. Knapp die Hälfte von denen glauben sogar dass esAußerirdische in der eigenen Nachbarschaft gibt;;Verkehr;;
79;20.3.2019;Die Wahrscheinlichkeit in einer Raumstation Sex zu haben liegt bei ca. 1 zu 600;;Beziehung;Sex, Raumfahrt;
80;21.3.2019;Aus der Sicht des Finanzamtes gibt es in Deutschland 83 Millionen potentielle Steuersünder;;Wirtschaft;Finanzamt, Geld;
81;22.3.2019;Nur 52% werden wieder auf die Erde zurückgebracht nachdem sie von Außerirdischen entführt wurden.;;Wissen;Außerirdische;
82;23.3.2019;27% aller Gläubigen rätseln bis heute wie die Erde im Jahre 500 vor Christus plötzlich rund werden konnte;;Religion;Christentum;
83;24.3.2019;40% aller Single-Frauen sind schonmal auf einen Fuckboy reingefallen der die Frau nur zum Sex ausgenutzt hat;;Beziehung;Sex, Partnerschaft;
84;25.3.2019;3% aller Quickies enden mit einer Schwangerschaft;;Beziehung;Sex, Partnerschaft;
85;26.3.2019;12 von 100 Frauen haben auf einem Rockfestival schonmal blank gezogen;Wollten auch mal ihre Meinung sagen / zeigen;;;
86;27.3.2019;Eine Bienenkönigin kann bis zu 3000 Eier am Tag legen;;;Tiere;
87;28.3.2019;11% aller Bodybuilder spritzen sich ihre Muskeln mit Öl. Ungefähr die Hälfte von denen vergessen dass bei wachsender Muskelmasse der Penis schrumpft;;;;
88;29.3.2019;9/10 Frauen haben sich besser gefühlt als sie das erste Mal einem Mann mit ihren Spitzschuhen in die Eier getreten haben. 12% davon hatten danach ein schlechtes Gewissen. 4% haben den Kerl am Ende sogar trotzdem geheiratet;;;;
89;30.3.2019;21% aller unverheirateten Männer die eine Beziehung führen haben ihre Liebste schonmal beim Freischeißen erwischt.;;;;
90;31.3.2019;96% aller Menschen empfinden das andere Geschlecht attraktiver wenn sie angetrunken sind.;;;;
91;1.4.2019;Die Englische Queen Elizabeth II fährt seit Jahrzehnten Auto besitzt aber selbst keinen Führerschein ;;;;
92;2.4.2019;66% aller Amerikaner glauben bis heute dass die Nazis im Zweiten Weltkrieg Technologien von Außerirdischen bekommen haben;;;;
93;3.4.2019;82% der Rentnerinnen in Deutschland wünschen sich ein Rendevouz mit Florian Silbereisen. 83% der Rentner hoffen dass er mit seinem Traumschiff einen Eisberg rammt und titanisch untergeht;;;;
94;4.4.2019;42% aller Männer wollen ihre Partnerin beim Kacken sehen bevor sie darüber nachdenken sie zu heiraten ;;;;
95;5.4.2019;Jedes Jahr sterben mehr Menschen durch umfallende Getränkeautomaten als durch Haiangriffe;;;;
96;6.4.2019;Jeder sechste Deutsche Innenarzt wurde schonmal von einem Patienten verprügelt;;;Gesundheit ;
97;7.4.2019;Ein Mensch arbeitet in seinem Leben im Durchschnitt 8 Jahre lang;;;;
98;8.4.2019;4% aller Frauen verkleiden sich zu Ostern für den Partner mit einem sexy Osterhasen-Kostüm ;;;;
99;9.4.2019;7 von 100 Frauen haben schonmal beim Strip-Poker verloren;;;;
100;10.4.2019;12% aller Engländer im Alter von 80 Jahren oder mehr glauben, dass der Eisberg der die Titanic versenkt hatte eigentlich vor Gericht gestellt werden müsste. Sie warten bis heute.;;;;
101;11.4.2019;McDonalds verkauft statistisch gesehen 75 Burger pro Sekunde. Weltweit;;;;
102;12.4.2019;Am größten Stau am 12.04.1990 waren 18 Millionen Autos beteiligt;;;;
103;13.4.2019;Seit der erste Mensch 1961 in den Weltraum geflogen ist hat sich die Weltbevölkerung mehr als verdoppelt;;;;
104;14.4.2019;Beim Boxen hat man eine Chance von 1:2200 dass man stirbt;;;;
105;15.4.2019;92% aller Deutschen Frauen sind sich sicher dass sie eine bessere Stimme haben als Heidi Klum;;;;
106;16.4.2019;Jeder Autofahrer in Deutschland verbringt ca. 2 Wochen seines Lebens mit dem Warten an einer roten Ampel;;;;
107;17.4.2019;4% aller verschwundenen Fernbedienungen tauchen im Kühlschrank wieder auf;;;;
108;18.4.2019;22% aller Frauen in Deutschland haben die Schuhgröße 38 oder 39;;;;
109;19.4.2019;71% aller Frauen wünschen sich dass ihr Ex-Mann auf den Planeten Vulkan gebeamt werden könnte und er von den schlauen Typen dort die Ohren langgezogen bekommt;;;;
110;20.4.2019;Ein Krankenhausaufenthalt kostet in Deutschland im Durchschnitt 4000 Euro pro Tag;;;;
111;21.4.2019;Ameisen können das 50-fache ihres eigenen Körpergewichts tragen. Bei einem Menschen entspricht das einem 3,5 Tonnen-LKW;;;;
112;22.4.2019;Ca. 83% aller Frauen in Deutschland würde für 100.000 Euro ein Jahr für Sex verzichten. 94% würden sogar für einen Lebenslagen Shopping-Gutschein für 20 Jahre auf Sex verzichten.;;;;
113;23.4.2019;63% der Frauen geben an auch mal ungeplant Schuhe zu kaufen;;;;
114;24.4.2019;Jeden Tag stellen 20.000 Menschen fest, dass sie in Wirklichkeit völlig bekloppt sind;;;;
115;25.4.2019;Laut einer Studie geben 3 von 10 Männern ihrem Penis einen Namen.;;;;
116;26.4.2019;Statisch haben 8 von 10 Frauen schon einmal ein Massagestab gekauft dass sie danach nie benutzt haben. Frag mal deine Freundin wieviele Massagestäbe sie schon hat;;;;
117;27.4.2019;12% aller Amerikaner glauben dass “Crepes” eine Krankheit aus Frankreich ist;;;;
118;28.4.2019;Russland hat eine größere Landmasse als der Zwergplanet Pluto;;;;
119;29.4.2019;Über 80% aller Frauen im Alter zwischen 20 und 40 Jahren wünschen sich einen harten Feuerwehrmann mit einem richtigen Feuerwehrschlauch;;;;
120;30.4.2019;Statistisch gesehen hat jeder Dritte Außerirdische schonmal einen Menschen entführt und mit ihm gewisse “Experimente” durchgeführt;;;;
121;1.5.2019;Statistisch gesehen ist es 6 Mal so wahrscheinlich zwischen 9 und 1 Uhr Nachts Sex zu haben als an anderen Tageszeiten (es sei denn man arbeitet bei VW und lässt sich regelmäßig auch tagsüber auf Firmenkosten beglücken);;;;
122;2.5.2019;Innerhalb einer Minute werden in Deutschen Büros insgesamt 8700 Überstunden angehäuft;;;;
123;3.5.2019;Statistisch gesehen kennt in den USA jeder Mensch mindestens eine Person die durch eine Schusswaffe verletzt oder getötet wurde.;;;;
124;4.5.2019;Es ist wahrscheinlicher durch einen Sektkorken zu sterben als durch eine fiese Giftspinne;;;;
125;5.5.2019;9von10 politisch korrekten Weltverbesserern glauben dass sie Adolf Hitler 1939 getötet hätten bevor er den Zweiten Weltkrieg anfangen hätte können;;;;
126;6.5.2019;Nur 2 von 100 Verschwörungstheoretikern wissen dass der Untergang der Titanic in Wirklichkeit vom US-Militär  verursacht wurde um den Ersten Weltkrieg schon 1912 beginnen zu können;;;;
127;7.5.2019;70% aller Biertrinker haben Angst mit dem Flugzeug zu fliegen weil sie befürchten dass beim Flug das Bier ausgeht mit dem sie sich betäuben könnten;;;;
128;8.5.2019;In den letzten 1000 Jahren ist die Weltbevölkerung um das 22fache gestiegen;;;;
129;9.5.2019;Vampire saugen das Blut von Menschen um ihren Vitamin D Haushalt aufzufüllen weil sie selbst nicht in die Sonne gehen können;;;;
130;10.5.2019;9 von 10 Frauen haben schon einmal einen Orgasmus vorgetäuscht;;;;
131;11.5.2019;83% aller Frauen glauben dass das Wort “Liebe” für Männer nur eine Metapher ist;;;;
132;12.5.2019;Bei Wahlen in der DDR verkündete die SED stets 99% Zustimmung der Bevölkerung.;;;;
133;13.5.2019;83% aller männlichen Vertreter wünschen sich von ihrer Liebsten Sonntag morgens eine sexuelle Sonderbehandlung ohne Gegenleistung bekommen zu können;;;;
134;14.5.2019;Ein Mensch verliert bis zu 200 Haare pro Tag. 10% davon untenrum;;;;
135;15.5.2019;David Hasselhoff hat am Strand von Malibu in seiner Karriere als Rettungsschwimmer insgesamt 17 Millionen Menschen gerettet. Das entspricht ca. 1.8 % der Amerikanischen Bevölkerung.;;;;
136;16.5.2019;17,7% der Menschen glauben an Geister und Gespenster;;;;
137;17.5.2019;Statistisch besitzt jeder Holländer 1,2 Wohnwagen, 14 orange farbene T-Shirts und 4 Paar KlickKlack-Holzschuhe;;;;
138;18.5.2019;Mit 1,4 Promille im Blut empfinden die meisten Menschen das andere Geschlecht am attraktivsten;;;;
139;19.5.2019;99% aller Deutschen glauben dass man in einem direkten Trinkwettbewerb gegen einen Russen verlieren würde;;;;
140;20.5.2019;98% aller heterosexuellen Männer verdoppeln ihre Gehirnaktivität wenn sie eine hübsche Frau sehen;;;;
141;21.5.2019;Laut Schätzung gibt es in Deutschland mehrere tausend Menschen die Sodomie betreiben, also sexuelle Handlungen mit Tieren. Laut Tierschutzgesetz ist das verboten. Die Dunkelziffer dürfte deutlich höher liegen.;;;;
142;22.5.2019;84% aller Menschen glauben dass Geld die Wurzel allen Übels ist, aber 96% aller Menschen geben an mehr Geld erwirtschaften zu wollen;;;;
143;23.5.2019;Statistisch gesehen ist die Chance für eine Frau schwanger zu werden nach einem Rockkonzert 4 Mal so hoch;;;;
144;24.5.2019;88% aller Amerikaner glauben dass “Football” mit den Händen gespielt wird;;;;
145;25.5.2019;Frauen ändern ihre Meinung im Durchschnitt 72 Mal am Tag;;;;
146;26.5.2019;Eine Deutsche Frau besitzt im Durchschnitt 13,1 Paar Schuhe;;;;
147;27.5.2019;17% aller Stewardessen haben schonmal eine sexuelle Affäre im Flugzeug gehabt. Circa ein Drittel davon mit unbekannten Fluggästen.;;;;
148;28.5.2019;Laut einer Studie haben 9 von 10 Politikern keine Ahnung von Digitalen Medien;;;;
149;29.5.2019;In den USA gibt es 1783 Personen mit dem Namen Bruce Wayne. Bisher hat sich noch niemand als schwarzer Ritter in einem Lederanzug zu erkennen gegeben;;;;
150;30.5.2019;Das Bessere ist immer der Feind des Guten;;;;
151;31.5.2019;30% aller weiblichen Lottogewinner verstecken ihren Lottoschein im BH;;;;
152;1.6.2019;73% aller Männer schwitzen beim Kacken und 82% aller Frauen schwitzen beim Shoppen;;;;
153;2.6.2019;82% aller Mütter in Dänemark gehen Arbeiten. Ein Hoch auf die Frau;;;;
154;3.6.2019;29% der Männer machen jede Woche die Wäsche. Nur 7% der Frauen vertrauen darauf, dass ihre Männer es richtig tun.;;;;
155;4.6.2019;In Deutschland werden jedes Jahr hunderttausende Verkehrsschilder geklaut. Die höchste Diebstahlquote hat die Silvesternacht und der Herrentag. Ansonsten sind auch Wochenenden beliebte Diebstahltage;;;;
156;5.6.2019;7/10 Männern würden nach einer nicht repräsentativen Umfrage gern einmal mit Megan Fox Schachboxen machen;;;;
157;6.6.2019;Das Bier ist (leider) keine Erfindung aus Mitteleuropa sondern bereits die alten Ägypter beim Bau der Pyramiden tranken Bier ;;;;
158;7.6.2019;Alle 48 Sekunden verschwindet jemand in IKEA und wird danach nie wieder gesehen;;;;
159;8.6.2019;In Paris landen jedes Jahr über 350 Menschen im Krankenhaus weil sie auf Hundehaufen ausrutschen und sich verletzen;;;;
160;9.6.2019;30% aller Frauen die beim Autofahren Lippenstift auftragen haben schonmal einen Lippenstift verschluckt;;;;
161;10.6.2019;"Die Wahrscheinlichkeit im Lotto den Hauptgewinn abzuräumen liegt bei ca. 1:140.000.000. Die Wahrscheinlichkeit mit dem Flugzeug abzustürzen liegt bei ca. 1:9.000.000. Die Wahrscheinlichkeit von einem Blitz getroffen zu werden liegt bei ca. 1:3.000.000.
Wann spielst du wieder Lotto?";;;;
162;11.6.2019;Die Mehrheit aller Menschen glauben dass Zombies mit einem geeigneten Gegenmittel wieder in normale Menschen umgewandelt werden können.;;;;
163;12.6.2019;81% aller Veganer in Deutschland sind Frauen;;;;
164;13.6.2019;Jeder zweite Ehemann träumt davon mehr Flaschen im Kühlschrank zu haben. 99% der Ehefrauen wissen dass ihr Mann selbst eine Flache ist;;;;
165;14.6.2019;7% aller Menschen unter 30 Jahren machen per SMS Schluss;;;;
166;15.6.2019;Statistisch gesehen gehen Männer mit Bärten eher fremd als Frauen mit Bärten;;;;
167;16.6.2019;Einer von Fünf Autofahrern spricht mit seinem Auto;;;;
168;17.6.2019;92% aller Deutschen geben an Angst vor Großen Haien zu haben. 12% geben an Angst vor einer Grippe zu haben. In Deutschland sterben jedes Jahr 0 Menschen durch Haiangriffe und 5000-8000 Menschen an Grippe;;;;
169;18.6.2019;100000 Bäume werden jeden Tag gefällt um genug Papier für Prüfungsblätter herzustellen. Wir sagen: Keine Prüfungen mehr! Rettet die Bäume.;;;;
170;19.6.2019;Honigbienen töten jedes Jahr viel mehr Menschen als Schlangen.;;;;
171;20.6.2019;96,4% der Menschen im Alter zwischen 18-64 Jahren geben an Alkohol zu trinken. Kein Wunder dass es in Deutschland an jeder Ecke einen Späti mit vollen Kühlschränken gibt.;;;;
172;21.6.2019;Ungefähr 11% aller Menschen sind Linkshänder;;;;
173;22.6.2019;Ein Orgasmus von Schweinen kann bis zu 30 Minuten dauern;;;;
174;23.6.2019;Beim Brexit-Votum vom 23.06.2016 stimmte eine knapper Mehrheit von 51,9% für den Brexit. Die Politik des Austritts Großbritanniens aus der EU basiert damit auf einer denkbar knappen demokratischen Grundlage;;;;
175;24.6.2019;Jeder Siebte Arbeitnehmer leidet in seinem Job an Boreout und fühlt sich gelangweilt.;;;;
176;25.6.2019;In Großbritannien werden jährlich schätzungsweise 93.000 Liter Bier verschwendet, weil es in Bärten hängenbleibt.;Die spinnen die Briten;;;
177;26.6.2019;60% der US-Regierungsmitglieder haben in der Airforce One schonmal Sex gemacht;;;;
178;27.6.2019;38% aller Inder ernähren sich vegetarisch;;;;
179;28.6.2019;In Deutschen Casinos trifft 1/1200 Menschen ein Herzinfarkt beim Spielen;;;;
180;29.6.2019;34% der Männer glauben zu wissen dass Frauenbrüste in anderen Ländern grundsätzlich anders geformt sind als in der Heimat;Andere Länder andere ?itten;;;
181;30.6.2019;Das U-Bahnnetz in Peking hat sich zwischen 2008-2018 von 197.2Km auf 608Km vergrößert. Das entspricht einem Zuwachs von 300%;;;;
182;1.7.2019;Beim Küssen werden innerhalb einer Minute ca. 26 Kalorien verbrannt. Aggressive Küster erreichen sogar bis zu 30 Kalorien.;;;;
183;2.7.2019;In Deutschen Gefängnissen sitzen über 64.000 Personen ein, davon sind 3800 weiblich. Da macht ein Verhältnis von 17:1. Sind Frauen deshalb friedlicher?;;;;
184;3.7.2019;Auf Deutschen Schulhöfen werden täglich bis 700.000 Gummibärchen gedealt. Der Umsatz mit diesem Rauschgift wird von den Behörden auf mindestens 350 Millionen Euro pro Jahr geschätzt.;Der Schwarzhandel boomt;;;
185;4.7.2019;21% aller Männer die auf Klo kacken gehen haben nach dem Stuhlgang eingeschlafene Beine;;;;
186;5.7.2019;Der Bund der Steuerzahler hat errechnet dass der Staat 30 Milliarden Euro jedes Jahr für sinnlose und dämliche Projekte ausgibt die nichts bringen;;;;
187;6.7.2019;Der Anblick eines weiblichen Dekolletés reduziert die Konzentrationsfähigkeit eines Mannes um 50% pro Brust.;;;;
188;7.7.2019;Auf Kreuzfahrtschiffen gehen jedes Jahr 19 Menschen über Bord;Spurlos verschwunden;;;
189;8.7.2019;72% der Männer wischen sich mit der rechten Hand den Hintern ab;;;;
190;9.7.2019;Mit fast 40 Metern Durchmesser gilt die Ottavia-Pizza als die größte Pizza der Welt.;;;;
191;10.7.2019;Der Rekordhalter im Bierschnelltrinken schafft es 0,57 Liter Bier in 2,1 Sekunden zu verschlingen;;;;
192;11.7.2019;Ein durchschnittlicher Mensch verbringt ca. 25 Jahre seines Lebens mit Schlafen;;;;
193;12.7.2019;Das Deutsche Steuerrecht ist besonders einfach zu erfassen. Es umfasst lediglich etwa 17000 Seiten mit Gesetzen;;;;
194;13.7.2019;Auf der menschlichen Haut tummeln ich mehr Bakterien als es Menschen auf der Erde gibt;;;;
195;14.7.2019;80% aller Menschen weltweit müssen mit weniger als 10 Dollar pro Tag auskommen;;;Armut;
196;15.7.2019;In Afrika sterben jedes Jahr doppelt so viele Menschen durch Flusspferde als durch Tiger oder Löwen zusammen.;;;;
197;16.7.2019;64% aller jungen Menschen im Alter zwischen 13-24 schauen regelmäßig Pornos im Internet;;;;
198;17.7.2019;Im Beach Volleyball können Spielerinnen disqualifiziert werden wenn das Hösschen an der Seite breiter ist als 3,5 Zentimeter;;;;
199;18.7.2019;In Frankreich ist es verboten sein Haustier “Napoleon” zu nennen;;;;
200;19.7.2019;Wein ist keine Erfindung der Franzosen sondern war bereits über 6000 Jahre vor Christus bekannt - lange bevor es überhaupt Frankreich gab.;;;;
201;20.7.2019;Pro Tag lügt ein Mensch durchschnittlich ca. 200 Mal;;;;
202;21.7.2019;Fast alle Kreuzfahrtschiffe haben eine Leichenhalle an Bord. Todesfälle sind normal wegen der vielen Rentner;Du dachtest eine Kreuzfahrt ist pures vergnügen?;;;
203;22.7.2019;Laut einer Krankenkassen-Schätzung verursacht Alkoholkonsum ca. 40 Milliarden Euro Krankenkosten in Deutschland. Der Deutsche Staat nimmt jährlich 3,1 Milliarden Euro durch Steuern ein;;;;
204;23.7.2019;Männer mit vielen Haaren im Gesicht haben häufiger sexistische Ansichten als glatt rasierte;;;;
205;24.7.2019;85 Prozent der Frauen trägt die falsche BH Größe;;;Sex, Sexismus;
206;25.7.2019;Der Zwergplanet Ceres ist in etwa so groß wie die Fläche Großbritanniens;;Astronomie;;
207;26.7.2019;Der beliebteste Knabbersnack in Deutschland und Kartoffelchips mit 63% gefolgt von Erdnüssen mit 33%;;Essen und Trinken;;
208;27.7.2019;Wenn man seinen Kopf gegen eine Wand schlägt, kann man bis zu 150 Kalorien pro Stunde verbrennen;;;Abnehmen;
209;28.7.2019;Menschen mit Blauen Augen haben eine höhere Toleranzschwelle gegenüber Alkohol und werden nicht so schnell betrunken ;;;Alkohol;
210;29.7.2019;99,9% aller Autofahrer glauben dass sie überdurchschnittlich gut Autofahren können;;;;
211;30.7.2019;Als die Pyramiden in Ägypten erbaut wurden tranken die Bauarbeiter bis zu 4 Liter Bier pro Tag weil das Bier sauberer war als das Nilwasser;;;;
