id;date;title;subtitle;categories;tags;person;post_type;slug;_repeating
94;;Britische Marine lässt neuen Flugzeugträger vom Stapel. Dieser kostete nur 47Mrd. Pfund;;Ausland.Politik;Militär;;news;;
95;;Deutsches U-Boot aus dem Zweiten Weltkrieg in Bremerhaven eingelaufen. Kapitän: Wir waren 78 Jahre auf Feindfahrt haben aber niemanden mehr gesehen.;;Ausland.Unterhaltung;Militär;;news;;
96;;103-jähriger Japanischer Soldat aus dem Zweiten Weltkrieg auf den Philippinen entdeckt;;Ausland.Unterhaltung;Militär;;news;;
97;;3 Jahre Jugendarbeit für einen Siebenjährigen weil er nicht am “Veggieday” teilnehmen wollte und seine Lehrerin als “Rohkostsau” beschimpfte;;Deutschland.Unterhaltung.Gesellschaft;Justiz.Vegetarier;;news;;
98;;Holland: Erstes EU-Land schafft Bargeld ab: Bevölkerung druckt Geld nun selbst;;Ausland.Digital.Unterhaltung;EU.Geld;;news;;
99;;Christian Spinnler sieht sich mit einem Shit-Storm konfrontiert weil er gesagt hat: “Ich stehe auf schöne Frauen”. Frauenaktivistin Beate Buhse kritisiert diese Aussage als Frauenverachtend;;Unterhaltung.Promis.Männer;;;news;;
100;;Donald Trump von intelligentem Computer als “dumm” eingestuft;;Ausland.Digital.Unterhaltung;;Donald Trump;news;;
101;;Frankreich: Polizist von Hinkelstein erschlagen. Hinterbliebene fordern Schadenersatz für den beschädigten Stein;;Ausland.Unterhaltung;Polizei.Justiz;;news;;
102;;US-Präsidentin Mila Kunis platzen die Brüste bei Weihnachtsansprache;;Ausland.Unterhaltung.Promis.Männer;;Mila Kunis;news;;
103;;Jörg Babbelmann wegen falscher Wettervorhersage vor Gericht: “Ich wusste nicht dass es am Wochenende doch regnen würde”;;Deutschland.Unterhaltung;Wetter.Justiz;Jörg Kachelmann;news;;
104;;Hollywood-Star Brad Pitt kehrt nach 7 Jahren aus Tibet zurück: “Ich habe jetzt Dauerfrostbeulen und nur noch 6 Fußzehen”;;Ausland.Unterhaltung.Promis;;Brad Pitt;news;;
105;;George Clooney nach Beinamputation: “Endlich lassen mich die Frauen in Ruhe”;;Unterhaltung.Promis.Frauen;;;news;;
106;;Software-Panne: Facebook von eigener KI-Software als “menschlich fragwürdig” eingestuft;;Digital.Unterhaltung;Facebook.KI;;news;;
107;;Moskau: Flughafen wegen Unwetter geschlossen. Bodenpersonal feiert Orgie und besäuft sich;;Ausland.Unterhaltung;Wetter;;news;;
108;;Motzi Mabuse steht auf “große Deutsche Bratwürste”;;Unterhaltung.Promis.Männer;;;news;;
109;;Formel1-Rennfahrer Lewis Hamilton heiratet Boxenluder in Bahrain;;Sport.Formel1.Unterhaltung.Promis;;Lewis Hamilton;news;;
110;;Pakistan: 7 Kühe vor Gericht wegen öffentlicher Freizügigkeit ;;Ausland.Politik;Justiz;;news;;
111;;Malaysia: Schimpanse wegen Kindesentführung zu 10 Jahren Haft verurteilt. Verteidiger geht in Revision und plädiert auf Unzurechnungsfähigkeit. Der Affe habe nur seinen Bananentrieb befriedigen wollen und war zur Tatzeit betrunken;;Ausland.Unterhaltung;Justiz;;news;;
112;;Helene Fischer schlürft eine Maß Bier in einem Zug weg. “Ich war schon als Kind ein Schluckspecht”;;Unterhaltung.Promis.Männer;Bier;Helene Fischer;news;;
113;;Frankreich: Regierung erhöht Kindergeld um 12 Cent;;Ausland.Politik;;;news;;
114;;Polen: Frau heiratet Ochsen;;Ausland.Unterhaltung;;;news;;
115;;Rainer Kallmund bekommt Elefantenmagen transplantiert;;Unterhaltung.Promis;Eklig;Rainer Kallmund;news;;
116;;Barbara Schöneberger schickt ihre 4 Hornochsen in die Wüste;;Unterhaltung.Promis.Frauen;;;news;;
117;;Hollywood-Legende Kirk Douglas wird 150: “Ich fühle mich immer noch so frisch wie ein 110-Jähriger”;;Unterhaltung.Promis;;;news;;
118;;43-Jähriger Japaner hat bereits 17.600,500,840 Schafe im Schlaf gezählt.. und er zählt weiter;;Unterhaltung.Gesellschaft;;;news;;
119;;Kapitän der Indischen Marine hat sich beim Anblasen seines U-Bootes verschluckt;;Ausland.Unterhaltung;Militär;;news;;
120;;Bruno Poperzi nach 7-tägiger Dauerfresserei geplatzt.;;Unterhaltung.Gesellschaft;;;news;;
121;;Los Angeles: 4 Frauen bei Einweihungsfeier verdurstet weil der Wein zu trocken war;;Unterhaltung.Gesellschaft;;;news;;
122;;Afghanischer Top-Terrorist Yussuf Bombasti offenbar auf dem Mond untergetaucht;;Ausland.Politik;Raumfahrt.Terrorismus;;news;;
123;;Werbebild von Michael Jackson löst UFO-Alarm in New York aus;;Ausland.Unterhaltung.Promis;UFO;Michael Jackson;news;;
124;;Autoriese Sauf-Wagen (SW) führt neue Außenbord-Dampfwalze ein;;Deutschland.Unterhaltung;Technik.Auto;;news;;
125;;Bei Familie Schuppenhuber läuten die Hochzeitsglocken;;Unterhaltung.Promis;;;news;;
126;;Prag: 27. Sauf-Weltmeisterschaft eröffnet. Favorit ist der Brite Peter Drunkmoore;;Ausland.Unterhaltung.Sport ;Bier;;news;;
127;;Jena: Wissenschaftler-Team erfindet ersten fliegenden Rollstuhl;;Wissen.Unterhaltung;;;news;;
128;;Griechenland: Kopf des Trojanischen Pferdes nach 2400 Jahren aus Titan entdeckt. Wissenschaftler rätseln;;Ausland.Unterhaltung.Wissen;Lachvegas deckt auf;;news;;
129;;Indien: Gruppe junger Männer bricht aus Gefängnis aus und wird von Flusspferd vergewaltigt;;Ausland.Unterhaltung;Justiz;;news;;
130;;INSA-Studio:;;;;;news;;
131;;Irak: Totgeglaubter Top-Terrorist tarnte sich nach Gesichtsoperation jahrelang als Regierungsmitglied;;Ausland.Unterhaltung;Terrorismus;;news;;
132;;Angola: Erstmals mehr Menschen in Haft als in Freiheit. Regierung baut Gefängnisstadt;;Ausland.Politik;;;news;;
133;;Berlin: Taubstummer Rentner bekommt 2 Monate Beugehaft.weil er seine Rundfunkgebühren nicht zahlen konnte;;Berlin;Justiz.Polizei;;news;;
134;;Kim-Jong-Un hat den roten Atomknopf an seiner Unterhose für den Fall dass er entführt werden sollte;;Ausland.Politik;;Kim Jong-Un;news;;
135;;Moskau: Mann fällt von Brücke nachdem er 2 Tage lang nüchtern war ;;Ausland.Unterhaltung;;;news;;
136;;USA: Lehrer werden mit Schusswaffen ausgerüstet um sich gegen bewaffnete Schüler zu wehren;;Ausland.Politik;;;news;;
137;;Amazon: meist verkauftes Produkt ist Sexpuppe aus Silikon;;Ausland.Digital.Unterhaltung;;;news;;
138;;Brasilien: Hahnenkampfring ausgehoben. 20 Hähne müssen ins Umerziehungsheim.;;Ausland.Unterhaltung;;;news;;
139;;Frankreich: Ehefrau verlässt Präsidenten weil er die Frühstücksbrötchen zu lange hat abkühlen lassen;;Ausland.Politik.Unterhaltung;;;news;;
140;;Schock-Rocker Marilyn Manson lässt sich drittes Auge stechen;;Unterhaltung.Promis;Musik;Marilyn Manson;news;;
141;;Conchita Wurst hat nach Schönheitsoperation Knoten im Glied;;Unterhaltung.Promis.Frauen;;Conchita Wurst;news;;
142;;Kuba: 13 Häftlinge brechen aus Gefängnis aus und seilen sich an Schlange ab;;Ausland.Politik.Unterhaltung;Polizei.Justiz;;news;;
143;;US-Präsident Donald Dump führt Strafzölle für Büroklammern aus Indien ein;;Ausland.Politik.Wirtschaft;;Donald Trump;news;;
144;;Studie: 87% der Männer schwitzen beim Kacken. 90% der Frauen schwitzen beim Shoppen;;Unterhaltung.Gesellschaft.Wissen;Statistik;;news;;
145;;GNTM: 16-jährige fliegt aus Show weil Sie 4 Gramm Schminke zu wenig aufgetragen hat;;Unterhaltung.Gesellschaft;TV;;news;;
146;;Berlin: Überfüllte Tram löst Massenkotzerei aus.;;Berlin;Eklig;;news;;
147;;Nach mehr als 100 Jahren. England entsendet Expertenteam das den Eisberg ausfindig machen soll der die Titanic versenkt hat um ihn vor Gericht zu stellen;;Ausland.Politik.Unterhaltung;;;news;;
148;;PISA-Studie: Deutschlands Schüler schneiden doch nicht so schlecht ab. Die Reihenfolge der Ergebnisse wurde nur vertauscht. Dann ist ja alles gut;;Deutschland.Politik.Gesellschaft.Bildung;Studie;;news;;
149;;Duisburg-Marxloh: Letzter Deutscher Schüler verlässt die Grundschule weil er sich mit seinen Mitschülern nicht mehr unterhalten kann;;Deutschland.Gesellschaft.Unterhaltung.Bildung;Schule;;news;;
150;;Glück im Unglück: Männer verkleiden sich als Polizisten und entführen Kanzlerin nach Afghanistan. Frau war aber nur eine Doppelgängerin;;Ausland.Politik;Polizei;Angela Merkel;news;;
151;;Siebenjährige schreibt bewegenden Brief an Weihnachtsmann und wird von Geheimdienst verfolgt;;Deutschland.Gesellschaft.Unterhaltung;Weihnachten;;news;;
152;;Queen of Pop: Madonna wird 70;;Unterhaltung.Promis;;Madonna;news;;
153;;BVB: Spieler kriegt Ball in die Weichteile und verteilt an seine Teammitglieder in der Umkleidekabine Eiersalat;;Sport.Fussball;BVB;;news;;
154;;BND-Panne: Geheimdienst verwechselt Terroristen mit einer 2-Jährigen aus Sachsen;;Deutschland.Politik;BND.Terrorismus;;news;;
155;;CERN: Schwarzes Loch saugt Dummheit auf. Heilung der Menschheit steht kurz bevor;;Wissen.Naturwissenschaft;;;news;;
156;;Türkei: Forscherteam entwickelt Maschine die Dummheit aufsaugen kann. ;;Wissen.Ausland;;;news;;
157;;Rainer Kallmund: Blähungen lösen Rauchmelder in Stadion aus.;;Unterhaltung.Promis;Eklig;Rainer Kallmund;news;;
158;;Nach Firmenpleite: Zar-Lando verkauft jetzt Einweg-Schnell-Eierkocher;;Wirtschaft;;;news;;
159;;Stefanie ClitFold aka Dummy Daniels berichtet in Ihrem neuen Buch von Donald Trump Schrumpfpenis: “Ich spürte nichts”;;Ausland.Unterhaltung.Promis.Männer;;Donald Trump;news;;
160;;Berlin: 20 Bienen und 37 Schnecken demonstrieren gegen den Einsatz von chemischen Pestiziden auf nahegelegener Wiese;;Berlin.Politik;Demonstration;;news;;
161;;Hartz-4-Empfänger nach 40 Jahren ohne Arbeit kauft sich Luxus-Villa in Florida.;;Deutschland.Gesellschaft.Unterhaltung;Hartz 4;;news;;
162;;Nach Kinderarbeits-Skandal auf Kakaoplantagen in Afrika: Nestle verkauft jetzt Gießkannen-Saugnäpfe;;Wirtschaft.Ausland.Unterhaltung;;;news;;
163;;Gladbeck: Teenagerin begeht Selbstmord weil Heidi Klum an Ihrem vierten Urlaubstag kein Foto auf Instagram veröffentlicht hat;;Deutschland.Unterhaltung.Promis.Gesellschaft;;Heidi Klum;news;;
164;;Nepal: Zugang zum Mount Everest wird gesperrt weil Klimaveränderung aufgetaute Leichen ins Tal spült;;Ausland.Unterhaltung;Klimawandel;;news;;
165;;Rüstungstechnik: Rheinmetall baut für 35Md Euro Superkanone mit der man seine Frau zum Mond schießen kann.;;Deutschland.Wirtschaft;Militär.Raumfahrt;;news;;
166;;Paris: Versace stellt neueste Mode vor: Einen Filzsack den man über das Gesicht stülpen kann. Das SACKGESICHT.;;Wirtschaft.Ausland.Unterhaltung;Mode;;news;;
167;;Frankreich: Polizei führt magnetischen Deflektor ein. Terrorist schießt sich selbst über den Haufen und stirbt.;;Ausland.Politik.Unterhaltung;Polizei.Terrorismus;;news;;
168;;Griechenland: Obdachloser verkauft seine Sackläuse auf Ebay.;;Ausland.Digital.Unterhaltung;;;news;;
169;;München: Forschungsinstitut kauft 120 frische Sackläuse von Obdachlosen Griechen auf Ebay;;Deutschland.Digital.Wirtschaft;;;news;;
170;;Japan: Firma führt wegen Rohstoffmangel Recycling für benutzte Kondome ein;;Wirtschaft.Ausland.Unterhaltung;Sex;;news;;
171;;“GroKo” als Unwort des Jahres gekührt ;;Wissen.Unterhaltung;;;news;;
172;;Weihnachtsmann sagt Weihnachten ab;;Deutschland.Unterhaltung.Gesellschaft;Weihnachten;;news;;
173;;Frau Merkel legt bei der Hündchenstellung gern den Rückwärtsgang ein;;Unterhaltung.Promis.Männer;Sex;Angela Merkel;news;;
174;;Waffen-Deal: Waffenhersteller rüstet Bundeswehr mit Gummi-Gewehren aus damit Armee keinen Schaden anrichten kann;;Deutschland.Wirtschaft;Militär.Bundeswehr;;news;;
175;;Frau Kahlarschian lässt sich dritte Brust von Zebra transplantieren;;Unterhaltung.Promis;;;news;;
176;;Bei Arztbesuch: Neue Bandwurmart in Jumbos Magen entdeckt;;Unterhaltung.Promis;Tiere;;news;;
177;;Donald Trump verklagt Forbes Magazine weil er nicht mehr unter den TopTen der Reichsten Männer der Welt steht;;Ausland.Unterhaltung.Wirtschaft;Justiz;Donald Trump;news;;
178;;Texas: Staatlich subventionierter Kotzwettbewerb für dieses Jahr abgesagt weil die ChiliBohnenErnte zu schlecht ausfiel;;Ausland.Politik;Eklig;;news;;
179;;Wiesbaden: 7-Jähriger fliegt von Schule weil er wiederholt das Volleyball-Frauenteam als Mannschaft und nicht als “Frauschaft” bezeichnet hatte;;Unterhaltung.Gesellschaft.Bildung;Schule.Gender-Wahnsinn;;news;;
180;;Formel1: Rennserie führt viereckige Reifen ein;;Sport.Formel1.Unterhaltung;;;news;;
181;;Mekka-Markt: Kunde zerstört 87 Fernseher weil er sich beobachtet fühlt;;Wirtschaft.Unterhaltung;;;news;;
182;;Testler erfindet Auto dass sich bei Stau in Luft auflösen kann.;;Wirtschaft.Unterhaltung;Auto;;news;;
183;;Bett Titto lässt sich ihre grünen Achselhaare am Rücken zusammenflechten und erhält dafür renommierten Kunstpreis;;Unterhaltung.Promis;Eklig;;news;;
184;;Bremen: 17-Jähriger Gymnasiast wird von seinem EiPhone in die Apfel-Cloud gesaugt nachdem er tagelang auf die Bildfläche gestarrt hatte;;Deutschland.Unterhaltung.Gesellschaft;;;news;;
185;;Klimaschutz: Olympisches Komitee führt Medallien aus Holz ein um die Umwelt zu schonen. ;;Sport.Olympia;Klimawandel.Olympia;;news;;
186;;Österreich: Thomas Schaltgott hat sich als Steinbock geoutet;;Ausland.Unterhaltung.Gesellschaft;;;news;;
187;;Künstliche Intelligenz stuft Peter Altmeier als Model und Heidi Klum als Politikerin ein;;Digital.Unterhaltung.Promis;KI;Heidi Klum;news;;
188;;Donald Trump stellt Putzfrau als Gesundheitsministerin ein.weil niemand anderes mehr verfügbar war;;Ausland.Politik;;Donald Trump;news;;
189;;Venezuela: Oppositionsführer wird nach 22 Jahren Haft entlassen und 2 Stunden später wieder festgenommen nachdem er mit seinem Anwalt telefoniert hatte.;;Ausland.Politik;Justiz;;news;;
190;;Facebook: Neue Super-KI schaltet Facebook ab;;Digital.Unterhaltung;Facebook.KI;;news;;
191;;Pier Keinglück;;;;;news;;
192;;Brasilien: Passagier fliegt aus Flugzeug wegen zu heftigen Blähungen;;Ausland.Unterhaltung.Gesellschaft;;;news;;
193;;Russland: Pilot zum siebten Male betrunken beim Fliegen erwischt und wird befördert.;;Ausland.Unterhaltung.Gesellschaft;;;news;;
194;;Waldsteiner erfindet Silikonbrüste mit Biermilch;;Wirtschaft.Unterhaltung;Bier;;news;;
195;;Berlin: Parkraumüberwacherin wird von intelligentem Auto überfahren nachdem sie zu viele Parkzettel verteilt hat;;Berlin.Politik;Auto;;news;;
196;;Omsk/Russland: Behörden rufen Notstand aus nachdem Vodka-Vorräte aufgebraucht sind;;Ausland.Unterhaltung;;;news;;
